team,att_strength,def_strength,att_perc,def_perc,season
West Virginia,0.5667322746417034,-0.012237826774488036,93.13725490196079,46.568627450980394,2015
Western Ill.,-0.12798869540109434,-0.31255031401843314,30.88235294117647,68.62745098039215,2015
Western Mich.,0.2551865407004468,0.029839725836225062,67.64705882352942,42.15686274509804,2015
William & Mary,0.07276671941153078,-0.02713715307884501,50.98039215686274,47.05882352941176,2015
Winthrop,0.29097694105493777,0.05794953705917673,70.09803921568627,39.21568627450981,2015
Wisconsin,0.18639357273931306,0.16006799421405665,61.274509803921575,29.411764705882355,2015
Wofford,0.3345957735323236,0.213585125105538,75.49019607843137,23.52941176470588,2015
Wright St.,0.3367465975321906,0.20369841643498807,75.98039215686273,25.49019607843137,2015
Xavier,0.5571181302288308,-0.6334893462035172,92.15686274509804,89.70588235294117,2015
Yale,-1.1494991236874244,0.032676470894577016,1.9607843137254901,41.17647058823529,2015
Akron,1.0125687408975914,-0.2869412682239621,99.51219512195122,82.92682926829268,2016
Albany (NY),0.3147001525047688,-0.02832887876951049,62.4390243902439,61.46341463414634,2016
American,0.6042271032678932,-0.33630294542568495,87.8048780487805,84.39024390243902,2016
Appalachian St.,-0.2998970840200095,0.13100303718075795,11.219512195121952,40.97560975609756,2016
Army West Point,-0.15297555197746715,0.20578702526943188,18.536585365853657,34.146341463414636,2016
Belmont,-0.377489184730058,0.5072346236126021,8.780487804878048,15.121951219512194,2016
Binghamton,0.006820188005283889,0.03213633478076161,30.24390243902439,50.24390243902439,2016
Boston College,0.6350271567814885,-0.1994608959086363,90.2439024390244,78.04878048780488,2016
Boston U.,0.4232374222106051,-0.060230665299025286,75.1219512195122,64.8780487804878,2016
Bowling Green,0.3173981426726978,0.2490749226238377,62.926829268292686,29.756097560975608,2016
Bradley,0.1662489231862751,0.21353261171335952,40.97560975609756,33.65853658536586,2016
Brown,0.25254185613211866,-0.2717035391341837,52.6829268292683,81.46341463414633,2016
Bryant,0.002672243326284022,0.29366968915462205,29.756097560975608,25.853658536585368,2016
Bucknell,0.4050670565991945,0.14392673999942404,72.1951219512195,38.53658536585366,2016
Buffalo,0.2885954621409241,0.009269991472683828,57.56097560975609,55.1219512195122,2016
Butler,0.6502732551981094,-0.3419620799031031,90.73170731707317,84.8780487804878,2016
