,Unnamed: 0,assists,class_year,corners,d_saves,division_id,fouls,g_loss,g_wins,ga,gaa,gc,ggs,goal_app,goalie_min_played,goals,gp,gs,gwg,jersey_number,ncaa_name,player_name,points,ps,psa,red_cards,save_pct,saves,school,season,sh_att,shutouts,team_name,year,yellow_cards
45,45,5,Sr, , ,1, , , ,,, , , , ,12,17.0,15.0,1,25,Stefano Bonomo,"Bonomo, Stefano",29.0, , , ,, ,California,2015,41, ,California,2015,5
46,46,1,Sr, , ,1,2, , ,,, , , , ,1,17.0,17.0, ,18,Tim Parker,"Parker, Tim",3.0, , ,1,, ,St. John's (NY),2015,15, ,St. John's (NY),2015,1
47,47, ,Sr, , ,1, ,4,14,15.0,0.611, ,23,23,2208:04, ,23.0,23.0, ,1,Tomas Gomez,"Gomez, Tomas",0.0, , , ,0.7829999999999999,54,Georgetown,2015, ,10,Georgetown,2015, 
48,48,6,Sr, , ,1,1, , ,,, , , , , ,20.0,20.0, ,20,Wesley Charpie,"Charpie, Wesley",6.0, , , ,, ,South Fla.,2015,31, ,South Fla.,2015, 
49,49,4,Sr, , ,1, , , ,,, , , , ,2,19.0,19.0,1,5,Will Seymore,"Seymore, Will",8.0,1,1, ,, ,Oregon St.,2015,11, ,Oregon St.,2015,4
50,50,2,Sr, , ,1, , , ,,, , , , , ,14.0,14.0, ,10,Zach Steinberger,"Steinberger, Zach",2.0, , , ,, ,Butler,2015,28, ,Butler,2015,1
51,51,3,Sr, , ,1,2, , ,,, , , , ,1,16.0,16.0, ,7,Tyler Arnone,"Arnone, Tyler",5.0, ,1, ,, ,Michigan,2015,33, ,Michigan,2015,2
52,52,3,Sr, , ,1,1, , ,,, , , , ,3,18.0,18.0, ,20,Laurie Bell,"Bell, Laurie",9.0,1,2, ,, ,Milwaukee,2015,70, ,Milwaukee,2015,2
53,53,1,Sr, , ,1, , , ,,, , , , ,2,18.0,18.0, ,5,Ramon Martin Del Campo,"Martin Del Campo, Ramon",5.0,2,3,2,, ,UC Davis,2015,18, ,UC Davis,2015,6
54,54,6,Sr, , ,1, , , ,,, , , , ,7,17.0,17.0,2,13,Duke Lacroix,"Lacroix, Duke",20.0,1,1, ,, ,Penn,2015,57, ,Penn,2015, 
55,55,6,Sr, , ,1, , , ,,, , , , ,8,23.0,19.0,4,7,Ricky Garbanzo,"Garbanzo, Ricky",22.0,1,2, ,, ,Coastal Caro.,2015,71, ,Coastal Caro.,2015,3
56,56,8,Sr, , ,1, , , ,,, , , , ,6,23.0,23.0,5,9,Fabio Machado,"Machado, Fabio",20.0, , , ,, ,Providence,2015,50, ,Providence,2015,1
57,57,5,Sr, , ,1, , , ,,, , , , , ,21.0,21.0, ,22,Luke Mishu,"Mishu, Luke",5.0, , , ,, ,Notre Dame,2015,5, ,Notre Dame,2015, 
58,58, ,Sr, , ,1, ,4,15,16.0,0.742, ,21,21,1940:38, ,21.0,21.0, ,0,Eric Osswald,"Osswald, Eric",0.0, , , ,0.789,60,Xavier,2015, ,11,Xavier,2015, 
59,59,3,Sr, , ,1, , , ,,, , , , , ,22.0,22.0, ,8,Jose Ribas,"Ribas, Jose",3.0, , , ,, ,Creighton,2015,4, ,Creighton,2015,4
60,60,4,Sr, , ,1, , , ,,, , , , ,2,24.0,17.0, ,20,Andrew Tusaazemajja,"Tusaazemajja, Andrew",8.0, , , ,, ,UCLA,2015,12, ,UCLA,2015,1
