season,team,player,position,school,affiliation,pick,generation_adidas
2016,Real Salt Lake,Max Lachowecki,Defender,Notre Dame,None,25,0
2016,Real Salt Lake,Amass Amankona,Midfielder,Dayton,Charlotte Eagles,46,0
2016,Real Salt Lake,Connor Sparrow,Goalkeeper,Creighton,IMG Academy Bradenton,65,0
2016,Real Salt Lake,PASS,,,,66,0
2016,San Jose Earthquakes,Andrew Tarbell,Goalkeeper,Clemson,New Orleans Jesters,8,1
2016,San Jose Earthquakes,Patrick Hodan,Midfielder,Notre Dame,None,28,0
2016,San Jose Earthquakes,Kip Colvey,Defender,Cal Poly,Ventura County Fusion,49,0
2016,San Jose Earthquakes,Tyler Thompson,Midfielder,Stanford,Burlingame Dragons FC,69,0
2016,Seattle Sounders FC,Tony Alfaro,Defender,Cal State Dominguez Hills,Ventura County Fusion,27,0
2016,Seattle Sounders FC,Zach Mathers,Midfielder,Duke,OC Blues U-23,35,0
2016,Seattle Sounders FC,Emir Alihodzic,Midfielder,Nebraska-Omaha,Mississippi Brilla,54,0
2016,Seattle Sounders FC,Michael Nelson,Defender,Old Dominion,None,76,0
2016,Sporting Kansas City,Ryan James,Midfielder,Bowling Green,TFC Academy,52,0
2016,Sporting Kansas City,Faik Hajderovic,Midfielder,Saint Louis,None,72,0
2016,Toronto FC,Tsubasa Endoh,Forward,Maryland,None,9,0
2016,Toronto FC,Mitchell Taintor,Midfielder,Rutgers,Real Boston Rams,59,0
2016,Toronto FC,Darius Madison,Forward,UMBC,Reading United AC,70,0
2016,Toronto FC,Brian James,Midfielder,Penn State,None,80,0
2016,Vancouver Whitecaps FC,Cole Seiler,Defender,Georgetown,Baltimore Bohemians,16,0
2016,Vancouver Whitecaps FC,Christopher Hellmann,Forward,Lynn,Des Moines Menace,29,0
2016,Vancouver Whitecaps FC,Thomas Sanner,Forward,Princeton,Reading United AC,36,0
2016,Vancouver Whitecaps FC,James Moberg,Midfielder,Washington,Portland Timbers U23s,50,0
2016,Vancouver Whitecaps FC,Josh Heard,Midfielder,Washington,Puget Sound Gunners FC,71,0
2016,Vancouver Whitecaps FC,Tyler David,Defender,Saint Louis,None,77,0
2017,Atlanta United FC,Miles Robinson,Defender,Syracuse,FC Boston,2,1
2017,Atlanta United FC,Julian Gressel,Midfielder,Providence,None,8,0
2017,Chicago Fire,Daniel Johnson,Midfielder,Louisville,Portland Timbers U23s,11,0
2017,Chicago Fire,Stefan Cleveland,Goalkeeper,Louisville,Dayton Dutch Lions,26,0
2017,Chicago Fire,Guillermo Delgado,Forward,Delaware,Seattle Sounders U-23,27,0
2017,Colorado Rapids,Sam Hamilton,Midfielder,Denver,None,15,0
2017,Colorado Rapids,Liam Callahan,Defender,Syracuse,K-W United,24,0
2017,Columbus Crew SC,Lalas Abubakar,Defender,Dayton,Michigan Bucks,5,0
2017,Columbus Crew SC,Niko Hansen,Forward,New Mexico,Seattle Sounders U-23,9,0
2017,D.C. United,Chris Odoi-Atsem,Defender,Maryland,None,12,0
2017,D.C. United,Eric Klenofsky,Goalkeeper,Monmouth,New York Red Bulls U-23,34,0
2017,D.C. United,Jo Vetle Rimstad,Defender,Radford,None,43,0
2017,FC Dallas,Jacori Hayes,Midfielder,Wake Forest,Portland Timbers U23s,18,0
2017,FC Dallas,Walker Hume,Defender,North Carolina,Portland Timbers U23s,37,0
2017,FC Dallas,Adonijah Reid,Forward,None,ANB Futbol,40,1
2017,Houston Dynamo,Joe Holland,Midfielder,Hofstra,Ventura County Fusion,10,0
2017,Houston Dynamo,Jake McGuire,Goalkeeper,Tulsa,Portland Timbers U23s,30,0
2017,Houston Dynamo,Danilo Radjen,Defender,Akron,West Virginia Chaos,36,0
